                          R0000100    HIN_Endorsed0321   ROCU_Endorsed0321  DRSEE_Endorsed0308            NMI_B18
min             0.00000000000000      1.0000000000000      1.0000000000000     1.0000000000000    0.00000000000000
max             1.00000000000000     20.0000000000000     20.0000000000000     5.0000000000000    1.00000000000000
range           1.00000000000000     19.0000000000000     19.0000000000000     4.0000000000000    1.00000000000000
sum           571.00000000000000 111159.0000000000000 110858.0000000000000 32915.0000000000000 4381.00000000000000
median          0.00000000000000     12.0000000000000     12.0000000000000     4.0000000000000    0.00000000000000
mean            0.06372056690102     12.4047539337128     12.3711639325968     3.6731391585761    0.48889632853476
SE.mean         0.00258040902624      0.0308376083501      0.0337266586677     0.0115998533560    0.00528091142702
CI.mean.0.95    0.00505819204288      0.0604487674594      0.0661119670449     0.0227383664167    0.01035179457504
var             0.05966691476557      8.5215354333062     10.1930255312704     1.2057616736015    0.24990459650549
std.dev         0.24426812064936      2.9191669074080      3.1926518023847     1.0980717980175    0.49990458740193
coef.var        3.83342667099638      0.2353264662086      0.2580720633709     0.2989464190198    1.02251655049274
                            CC1Y                HT97                  HHNW97             SSAS97             THAS97
nbr.val      8961.00000000000000 8961.00000000000000        8961.00000000000 8961.0000000000000 8961.0000000000000
nbr.null     6444.00000000000000 8492.00000000000000           4.00000000000 6758.0000000000000 7101.0000000000000
nbr.na          0.00000000000000    0.00000000000000           0.00000000000    0.0000000000000    0.0000000000000
min             0.00000000000000    0.00000000000000     -935251.00000000000    0.0000000000000    0.0000000000000
max             1.00000000000000    1.00000000000000      600000.00000000000   30.0000000000000   99.0000000000000
range           1.00000000000000    1.00000000000000     1535251.00000000000   30.0000000000000   99.0000000000000
sum          2517.00000000000000  469.00000000000000   830941295.00000000000 4188.0000000000000 8688.0000000000000
median          0.00000000000000    0.00000000000000       36200.00000000000    0.0000000000000    0.0000000000000
mean            0.28088382992970    0.05233790871555       92728.63463899118    0.4673585537328    0.9695346501507
SE.mean         0.00474798011581    0.00235277789905        1469.78839072131    0.0137874348820    0.0549383414113
CI.mean.0.95    0.00930712727992    0.00461198295565        2881.12150711067    0.0270265266873    0.1076917180761
var             0.20201064732890    0.04960418759067 19358250382.86582565308    1.7034266045722   27.0462815803003
std.dev         0.44945594592674    0.22271997573336      139133.92966083373    1.3051538624132    5.2006039630316
coef.var        1.60014888019449    4.25542367280743           1.50044190991    2.7926178990174    5.3640207312070
                         PFAS97               LFS97              ABFS97              RTGAS97              RDFAS97
nbr.val      8961.0000000000000  8961.0000000000000  8961.0000000000000  8961.00000000000000  8961.00000000000000
nbr.null     7389.0000000000000  5437.0000000000000  1726.0000000000000     0.00000000000000     0.00000000000000
nbr.na          0.0000000000000     0.0000000000000     0.0000000000000     0.00000000000000     0.00000000000000
min             0.0000000000000     0.0000000000000     0.0000000000000     1.00000000000000     1.00000000000000
max            50.0000000000000    99.0000000000000   200.0000000000000     4.00000000000000     4.00000000000000
range          50.0000000000000    99.0000000000000   200.0000000000000     3.00000000000000     3.00000000000000
sum          3567.0000000000000 21621.0000000000000 43915.0000000000000 27014.00000000000000 25227.00000000000000
median          0.0000000000000     0.0000000000000     3.0000000000000     3.00000000000000     3.00000000000000
mean            0.3980582524272     2.4127887512554     4.9006807275974     3.01461890414016     2.81519919651825
SE.mean         0.0179317099517     0.0740638441803     0.0799504786853     0.00658075019738     0.00825995299895
CI.mean.0.95    0.0351502539599     0.1451820790763     0.1567212294629     0.01289977594482     0.01619139760745
var             2.8813756934813    49.1551444653020    57.2794202954868     0.38806751378992     0.61138056578507
std.dev         1.6974615440361     7.0110729895860     7.5683168733535     0.62295065116742     0.78190828476559
coef.var        4.2643546106272     2.9057964506582     1.5443399180717     0.20664325109615     0.27774527846294
                          PPSM97              PPDR97              PPIG97              PPID97              PPHS97
nbr.val       8961.0000000000000  8961.0000000000000  8961.0000000000000  8961.0000000000000  8961.0000000000000
nbr.null         0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000
nbr.na           0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000     0.0000000000000
min              1.0000000000000     1.0000000000000     1.0000000000000     1.0000000000000     1.0000000000000
max              5.0000000000000     5.0000000000000     5.0000000000000     5.0000000000000     5.0000000000000
range            4.0000000000000     4.0000000000000     4.0000000000000     4.0000000000000     4.0000000000000
sum          23349.0000000000000 19059.0000000000000 14259.0000000000000 20563.0000000000000 22008.0000000000000
median           3.0000000000000     2.0000000000000     1.0000000000000     2.0000000000000     2.0000000000000
mean             2.6056243722799     2.1268831603616     1.5912286575159     2.2947215712532     2.4559758955474
SE.mean          0.0135484966078     0.0131436950921     0.0103347934503     0.0138072661117     0.0140284092859
CI.mean.0.95     0.0265581530050     0.0257646494229     0.0202585595786     0.0270654004345     0.0274988916495
var              1.6448969343345     1.5480729739586     0.9571060906787     1.7083303940090     1.7634913494189
std.dev          1.2825353540291     1.2442158068272     0.9783179905729     1.3070311373525     1.3279651160399
coef.var         0.4922180524842     0.5849949024072     0.6148192379216     0.5695815796244     0.5407077155959
                        NMI_A18             NA_A18             ROCU_02            DRSEE_02             Other_R Classification
nbr.val       8961.000000000000 8961.0000000000000 8961.00000000000000 8961.00000000000000 8961.00000000000000             NA
nbr.null      8051.000000000000 6540.0000000000000 3561.00000000000000 5273.00000000000000 7670.00000000000000             NA
nbr.na           0.000000000000    0.0000000000000    0.00000000000000    0.00000000000000    0.00000000000000             NA
min              0.000000000000    0.0000000000000    0.00000000000000    0.00000000000000    0.00000000000000             NA
max            195.000000000000   68.0000000000000    1.00000000000000    1.00000000000000    1.00000000000000             NA
range          195.000000000000   68.0000000000000    1.00000000000000    1.00000000000000    1.00000000000000             NA
sum          26051.000000000000 7736.0000000000000 5400.00000000000000 3688.00000000000000 1291.00000000000000             NA
